PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
93436,20181001,TSLA,TESLA INC,310.70001,0.173471,15
93436,20181002,TSLA,TESLA INC,301.01999,-0.031156,15
93436,20181003,TSLA,TESLA INC,294.79999,-0.020663,15
93436,20181004,TSLA,TESLA INC,281.82999,-0.043996,15
93436,20181005,TSLA,TESLA INC,261.95001,-0.070539,15
93436,20181008,TSLA,TESLA INC,250.56000,-0.043482,15
93436,20181009,TSLA,TESLA INC,262.79999,0.048851,15
93436,20181010,TSLA,TESLA INC,256.88000,-0.022527,15
93436,20181011,TSLA,TESLA INC,252.23000,-0.018102,15
93436,20181012,TSLA,TESLA INC,258.78000,0.025968,15
93436,20181015,TSLA,TESLA INC,259.59000,0.003130,15
93436,20181016,TSLA,TESLA INC,276.59000,0.065488,15
93436,20181017,TSLA,TESLA INC,271.78000,-0.017390,15
93436,20181018,TSLA,TESLA INC,263.91000,-0.028957,15
93436,20181019,TSLA,TESLA INC,260.00000,-0.014816,15
93436,20181022,TSLA,TESLA INC,260.95001,0.003654,15
93436,20181023,TSLA,TESLA INC,294.14001,0.127189,15
93436,20181024,TSLA,TESLA INC,288.50000,-0.019175,15
93436,20181025,TSLA,TESLA INC,314.85999,0.091369,15
93436,20181026,TSLA,TESLA INC,330.89999,0.050943,15
93436,20181029,TSLA,TESLA INC,334.85001,0.011937,15
93436,20181030,TSLA,TESLA INC,329.89999,-0.014783,15
93436,20181031,TSLA,TESLA INC,337.32001,0.022492,15
93436,20181101,TSLA,TESLA INC,344.28000,0.020633,15
93436,20181102,TSLA,TESLA INC,346.41000,0.006187,15
93436,20181105,TSLA,TESLA INC,341.39999,-0.014463,15
93436,20181106,TSLA,TESLA INC,341.06000,-0.000996,15
93436,20181107,TSLA,TESLA INC,348.16000,0.020817,15
93436,20181108,TSLA,TESLA INC,351.39999,0.009306,15
93436,20181109,TSLA,TESLA INC,350.51001,-0.002533,15
93436,20181112,TSLA,TESLA INC,331.28000,-0.054863,15
93436,20181113,TSLA,TESLA INC,338.73001,0.022489,15
93436,20181114,TSLA,TESLA INC,344.00000,0.015558,15
93436,20181115,TSLA,TESLA INC,348.44000,0.012907,15
